repo,topic,language,size,#sent,#word,#code_sent,#code_word,#gss_sent,#gss_word,#gss_code_sent,#gss_code_word,#gss_link,#gss_link_sent
golang/go,21266,Go,2,129,599,56,171,6,69,0,0,5,5
JakeWharton/butterknife,31,Java,2,176,603,100,228,8,83,0,0,0,0
google/gson,649,Java,2,103,551,13,31,9,80,0,0,3,3
vuejs/vue,6351,JavaScript,2,193,1273,20,52,9,143,0,0,3,4
vuejs/vue,6235,JavaScript,2,170,1117,19,63,15,173,0,0,9,9
airbnb/lottie-android,1177,Java,4,169,757,5,12,10,57,2,6,12,12
airbnb/lottie-android,524,Java,3,243,689,24,57,13,102,1,2,27,27
airbnb/lottie-android,1284,Java,2,206,888,112,308,9,78,0,0,1,2
ohmyzsh/ohmyzsh,7642,Shell,2,131,750,19,76,9,106,0,0,5,6
ohmyzsh/ohmyzsh,3009,Shell,3,109,669,17,78,7,90,0,0,0,0
PrestaShop/PrestaShop,9863,PHP,5,129,556,0,0,4,29,0,0,2,2
PrestaShop/PrestaShop,9641,PHP,3,124,633,0,0,11,121,0,0,14,15
hexchat/hexchat,1137,C,2,187,1395,4,30,14,182,0,0,7,8
grafana/grafana,18690,TypeScript,2,262,1511,118,438,22,317,8,140,17,22
grafana/grafana,15622,TypeScript,2,222,1361,7,77,34,329,0,0,42,48
flutter/flutter,13937,Dart,2,196,861,132,521,9,94,1,6,1,1
angular/angular,14757,TypeScript,3,138,734,24,93,9,90,0,0,8,9
angular/angular,17181,TypeScript,2,165,807,36,130,10,81,0,0,4,4
angular/angular,22434,TypeScript,2,129,639,51,130,9,93,0,0,6,6
keras-team/keras,4178,Python,2,282,1335,99,426,8,62,0,0,0,0
keras-team/keras,5221,Python,4,245,1240,132,509,18,191,0,0,12,12
httpie/httpie,78,Python,2,158,600,76,213,6,60,0,0,0,0
systemd/systemd,13470,C,2,76,519,2,12,6,77,0,0,3,3
systemd/systemd,12955,C,3,143,855,34,185,6,77,0,0,2,2
microsoft/vscode,94807,TypeScript,2,271,988,0,0,5,78,0,0,4,4
microsoft/vscode,66774,TypeScript,2,143,763,2,2,13,104,0,0,3,4
tensorflow/tensorflow,6809,C++,2,271,1276,16,120,11,116,0,0,6,7
tensorflow/tensorflow,27955,C++,2,152,619,54,151,5,48,0,0,1,1
PhilJay/MPAndroidChart,133,Java,2,111,542,53,197,7,92,0,0,1,1
PhilJay/MPAndroidChart,2452,Java,2,146,571,88,292,9,59,0,0,0,0
google/guava,807,Java,2,149,1179,16,39,15,181,0,0,0,0
pallets/flask,2389,Python,2,127,504,45,174,8,56,3,24,4,6
pallets/flask,170,Python,2,96,603,2,15,6,67,0,0,0,0
nvaccess/nvda,1707,Python,2,97,661,0,0,10,165,0,0,6,6
nvaccess/nvda,3188,Python,5,110,652,0,0,7,84,0,0,0,0
vuetifyjs/vuetify,838,TypeScript,2,77,542,1,10,4,42,0,0,1,1
vuetifyjs/vuetify,1561,TypeScript,2,210,1047,36,90,7,94,0,0,1,1
twbs/bootstrap,10202,JavaScript,2,69,525,6,10,6,92,0,0,1,1
twbs/bootstrap,26716,JavaScript,2,128,879,5,8,6,101,0,0,2,2
runelite/runelite,1662,Java,3,76,554,0,0,7,86,0,0,1,1
highcharts/highcharts,2280,TypeScript,3,135,699,18,35,7,85,0,0,1,1
highcharts/highcharts,1093,TypeScript,2,110,550,17,26,8,118,0,0,15,15
highcharts/highcharts,979,TypeScript,2,122,698,12,24,12,130,0,0,3,3
mozilla-mobile/fenix,9636,Kotlin,6,142,870,2,4,9,79,0,0,5,5
mozilla-mobile/fenix,12982,Kotlin,5,125,664,0,0,10,101,0,0,6,13
elastic/elasticsearch,37637,Java,2,107,660,52,360,8,73,1,7,46,46
elastic/elasticsearch,68609,Java,2,199,866,149,559,6,51,4,27,3,3
elastic/elasticsearch,24167,Java,2,131,776,94,516,7,114,0,0,1,1
electron/electron,19569,C++,3,113,511,5,11,9,83,0,0,12,12
electron/electron,2810,C++,3,80,507,16,35,7,91,0,0,2,2
WordPress/gutenberg,11463,JavaScript,2,159,949,21,84,13,139,0,0,3,3
WordPress/gutenberg,17334,JavaScript,2,92,784,0,0,9,119,0,0,4,8
WordPress/gutenberg,7964,JavaScript,3,129,782,0,0,5,58,0,0,0,0
WordPress/gutenberg,25965,JavaScript,2,42,435,0,0,3,56,0,0,2,2
harvesthq/chosen,2839,HTML,3,91,701,3,30,8,81,0,0,4,5
spring-projects/spring-boot,20995,Java,3,86,806,4,11,10,145,0,0,1,1
spring-projects/spring-boot,16580,Java,2,98,643,28,106,11,130,0,0,10,10
zxing/zxing,302,Java,2,114,754,0,0,8,91,0,0,4,5
zxing/zxing,261,Java,2,149,941,0,0,6,51,0,0,4,4
mapbox/mapbox-gl-native,3130,C++,2,104,663,0,0,7,88,0,0,2,2
